sessionKey,serviceName,packetMethod,packetUriSender,packetResponseCode,packetResponseTime
145,ts-order-service,PUT,192.168.224.1,400,11
146,ts-order-service,PUT,192.168.224.1,400,11
147,ts-order-service,PUT,192.168.224.1,400,9
148,ts-order-service,PUT,192.168.224.1,400,10
149,ts-order-service,PUT,192.168.224.1,400,9
150,ts-order-service,PUT,192.168.224.1,400,11
151,ts-order-service,PUT,192.168.224.1,400,9
152,ts-order-service,PUT,192.168.224.1,400,11
153,ts-order-service,PUT,192.168.224.1,400,9
154,ts-order-service,PUT,192.168.224.1,400,9
155,ts-order-service,PUT,192.168.224.1,400,9
156,ts-order-service,PUT,192.168.224.1,400,8
157,ts-order-service,PUT,192.168.224.1,400,11
158,ts-order-service,PUT,192.168.224.1,400,9
159,ts-order-service,PUT,192.168.224.1,400,11
160,ts-order-service,PUT,192.168.224.1,400,9
161,ts-order-service,PUT,192.168.224.1,400,8
162,ts-order-service,PUT,192.168.224.1,400,9
163,ts-order-service,PUT,192.168.224.1,400,8
164,ts-order-service,PUT,192.168.224.1,400,8
165,ts-order-service,PUT,192.168.224.1,400,8
166,ts-order-service,PUT,192.168.224.1,400,8
167,ts-order-service,PUT,192.168.224.1,400,7
168,ts-order-service,PUT,192.168.224.1,400,7
169,ts-order-service,PUT,192.168.224.1,400,8
170,ts-order-service,PUT,192.168.224.1,400,7
171,ts-order-service,PUT,192.168.224.1,400,7
172,ts-order-service,PUT,192.168.224.1,400,8
173,ts-order-service,PUT,192.168.224.1,400,9
174,ts-order-service,PUT,192.168.224.1,400,9
175,ts-order-service,PUT,192.168.224.1,400,8
176,ts-order-service,PUT,192.168.224.1,400,8
177,ts-order-service,PUT,192.168.224.1,400,9
178,ts-order-service,PUT,192.168.224.1,400,8
179,ts-order-service,PUT,192.168.224.1,400,9
180,ts-order-service,PUT,192.168.224.1,400,9
181,ts-order-service,PUT,192.168.224.1,400,9
182,ts-order-service,PUT,192.168.224.1,400,8
183,ts-order-service,PUT,192.168.224.1,400,8
184,ts-order-service,PUT,192.168.224.1,400,8
185,ts-order-service,PUT,192.168.224.1,400,9
186,ts-order-service,PUT,192.168.224.1,400,8
187,ts-order-service,PUT,192.168.224.1,400,8
188,ts-order-service,PUT,192.168.224.1,400,8
189,ts-order-service,PUT,192.168.224.1,400,8
190,ts-order-service,PUT,192.168.224.1,400,8
191,ts-order-service,PUT,192.168.224.1,400,7
192,ts-order-service,PUT,192.168.224.1,400,6
193,ts-order-service,PUT,192.168.224.1,400,8
194,ts-order-service,PUT,192.168.224.1,400,7
195,ts-order-service,PUT,192.168.224.1,400,7
196,ts-order-service,PUT,192.168.224.1,400,7
197,ts-order-service,PUT,192.168.224.1,400,7
198,ts-order-service,PUT,192.168.224.1,400,6
199,ts-order-service,PUT,192.168.224.1,400,10
200,ts-order-service,PUT,192.168.224.1,400,7
201,ts-order-service,PUT,192.168.224.1,400,9
202,ts-order-service,PUT,192.168.224.1,400,9
203,ts-order-service,PUT,192.168.224.1,400,7
204,ts-order-service,PUT,192.168.224.1,400,6
205,ts-order-service,PUT,192.168.224.1,400,6
206,ts-order-service,PUT,192.168.224.1,400,7
207,ts-order-service,PUT,192.168.224.1,400,7
208,ts-order-service,PUT,192.168.224.1,400,8
209,ts-order-service,PUT,192.168.224.1,400,7
210,ts-order-service,PUT,192.168.224.1,400,7
211,ts-order-service,PUT,192.168.224.1,400,6
212,ts-order-service,PUT,192.168.224.1,400,7
213,ts-order-service,PUT,192.168.224.1,400,8
214,ts-order-service,PUT,192.168.224.1,400,7
215,ts-order-service,PUT,192.168.224.1,400,6
216,ts-order-service,PUT,192.168.224.1,400,7
217,ts-order-service,PUT,192.168.224.1,400,7
218,ts-order-service,PUT,192.168.224.1,400,8
219,ts-order-service,PUT,192.168.224.1,400,6
220,ts-order-service,PUT,192.168.224.1,400,7
221,ts-order-service,PUT,192.168.224.1,400,8
222,ts-order-service,PUT,192.168.224.1,400,8
223,ts-order-service,PUT,192.168.224.1,400,9
224,ts-order-service,PUT,192.168.224.1,400,8
225,ts-order-service,PUT,192.168.224.1,400,7
226,ts-order-service,PUT,192.168.224.1,400,6
227,ts-order-service,PUT,192.168.224.1,400,6
228,ts-order-service,PUT,192.168.224.1,400,6
229,ts-order-service,PUT,192.168.224.1,400,6
230,ts-order-service,PUT,192.168.224.1,400,6
231,ts-order-service,PUT,192.168.224.1,400,7
232,ts-order-service,PUT,192.168.224.1,400,7
233,ts-order-service,PUT,192.168.224.1,400,9
234,ts-order-service,PUT,192.168.224.1,400,8
235,ts-order-service,PUT,192.168.224.1,400,8
236,ts-order-service,PUT,192.168.224.1,400,7
237,ts-order-service,PUT,192.168.224.1,400,6
238,ts-order-service,PUT,192.168.224.1,400,6
239,ts-order-service,PUT,192.168.224.1,400,6
240,ts-order-service,PUT,192.168.224.1,400,6
241,ts-order-service,PUT,192.168.224.1,400,7
242,ts-order-service,PUT,192.168.224.1,400,8
243,ts-order-service,PUT,192.168.224.1,400,6
244,ts-order-service,PUT,192.168.224.1,400,7
245,ts-order-service,PUT,192.168.224.1,400,8
246,ts-order-service,PUT,192.168.224.1,400,8
247,ts-order-service,PUT,192.168.224.1,400,6
248,ts-order-service,PUT,192.168.224.1,400,7
249,ts-order-service,PUT,192.168.224.1,400,7
250,ts-order-service,PUT,192.168.224.1,400,6
251,ts-order-service,PUT,192.168.224.1,400,8
252,ts-order-service,PUT,192.168.224.1,400,7
253,ts-order-service,PUT,192.168.224.1,400,7
254,ts-order-service,PUT,192.168.224.1,200,10
255,ts-order-service,PUT,192.168.224.1,400,6
256,ts-order-service,PUT,192.168.224.1,400,9
257,ts-order-service,PUT,192.168.224.1,400,7
258,ts-order-service,PUT,192.168.224.1,400,7
259,ts-order-service,PUT,192.168.224.1,400,6
260,ts-order-service,PUT,192.168.224.1,400,7
261,ts-order-service,POST,192.168.224.1,400,8
262,ts-order-service,POST,192.168.224.1,400,6
263,ts-order-service,POST,192.168.224.1,400,7
264,ts-order-service,POST,192.168.224.1,400,7
265,ts-order-service,POST,192.168.224.1,400,13
266,ts-order-service,POST,192.168.224.1,400,10
267,ts-order-service,POST,192.168.224.1,400,8
268,ts-order-service,POST,192.168.224.1,400,7
269,ts-order-service,POST,192.168.224.1,400,6
270,ts-order-service,POST,192.168.224.1,400,5
271,ts-order-service,POST,192.168.224.1,400,7
272,ts-order-service,POST,192.168.224.1,400,6
273,ts-order-service,POST,192.168.224.1,400,6
274,ts-order-service,POST,192.168.224.1,400,6
275,ts-order-service,POST,192.168.224.1,400,6
276,ts-order-service,POST,192.168.224.1,400,6
277,ts-order-service,POST,192.168.224.1,400,6
278,ts-order-service,POST,192.168.224.1,400,7
279,ts-order-service,POST,192.168.224.1,400,6
280,ts-order-service,POST,192.168.224.1,400,8
281,ts-order-service,POST,192.168.224.1,400,6
282,ts-order-service,POST,192.168.224.1,400,6
283,ts-order-service,POST,192.168.224.1,400,7
284,ts-order-service,POST,192.168.224.1,400,6
285,ts-order-service,POST,192.168.224.1,400,6
286,ts-order-service,POST,192.168.224.1,400,8
287,ts-order-service,POST,192.168.224.1,400,6
288,ts-order-service,POST,192.168.224.1,400,6
289,ts-order-service,POST,192.168.224.1,400,7
290,ts-order-service,POST,192.168.224.1,400,7
291,ts-order-service,POST,192.168.224.1,400,7
292,ts-order-service,POST,192.168.224.1,400,5
293,ts-order-service,POST,192.168.224.1,400,7
294,ts-order-service,POST,192.168.224.1,400,6
295,ts-order-service,POST,192.168.224.1,400,6
296,ts-order-service,POST,192.168.224.1,400,6
297,ts-order-service,POST,192.168.224.1,400,6
298,ts-order-service,POST,192.168.224.1,400,6
299,ts-order-service,POST,192.168.224.1,400,6
300,ts-order-service,POST,192.168.224.1,400,6
301,ts-order-service,POST,192.168.224.1,400,6
302,ts-order-service,POST,192.168.224.1,400,7
303,ts-order-service,POST,192.168.224.1,400,8
304,ts-order-service,POST,192.168.224.1,400,8
305,ts-order-service,POST,192.168.224.1,400,8
306,ts-order-service,POST,192.168.224.1,400,6
307,ts-order-service,POST,192.168.224.1,400,6
308,ts-order-service,POST,192.168.224.1,400,7
309,ts-order-service,POST,192.168.224.1,400,7
310,ts-order-service,POST,192.168.224.1,400,7
311,ts-order-service,POST,192.168.224.1,400,8
312,ts-order-service,POST,192.168.224.1,400,6
313,ts-order-service,POST,192.168.224.1,400,7
314,ts-order-service,POST,192.168.224.1,400,7
315,ts-order-service,POST,192.168.224.1,400,7
